rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
16384,10.91,-1.4,Terrell CRAIG,03 SEP 1997,GBR,3h3,,Bedford (GBR),22 JUN 2019,921
16384,10.91,0.0,Eden DAVIS,01 MAR 1999,GBR,4h5,,Bedford (GBR),22 JUN 2019,913
16384,10.91,+1.4,Bartłomiej KNAPCZYK,20 MAY 2001,POL,2h1,,Kraków (POL),22 JUN 2019,913
16384,10.91,-0.3,Mateusz WRÓBEL,04 SEP 2000,POL,1h3,,Kraków (POL),22 JUN 2019,914
16384,10.91,+0.9,Samuel SLOBODA,22 AUG 2001,SVK,1h2,,Bratislava (SVK),22 JUN 2019,913
16384,10.91,-2.2,Hajrudin VEJZOVIĆ,01 DEC 2000,BIH,1,,Sarajevo (BIH),22 JUN 2019,926
16384,10.91,+1.8,Xavier JEHOVAH,1996,CAN,1f1,,London (CAN),23 JUN 2019,913
16384,10.91,+0.5,Matteo BRIVIO,24 OCT 1998,ITA,1f2,,Mondovi (ITA),23 JUN 2019,913
16384,10.91,+0.6,Chidiera ONUOHA,2003,GER,1f2,,Duisburg (GER),23 JUN 2019,913
16384,10.91,+0.7,Ughale OKORO,08 APR 2004,NGR,5h1,,Abuja (NGR),25 JUN 2019,913
16384,10.91,0.0,John CLIFORD,08 APR 2002,NGR,4sf3,,Abuja (NGR),25 JUN 2019,913
16384,10.91,-0.5,Min-hyuk SEO,19 JAN 2002,KOR,2sf2,,Jeongseon (KOR),26 JUN 2019,916
16384,10.91,-1.8,Hasan SALEH,,LBN,2,,Beirut (LBN),27 JUN 2019,923
16384,10.91,-0.6,Gino VAN WIJK,20 FEB 2002,NED,2,,Alphen aan den Rijn (NED),28 JUN 2019,916
16384,10.91,+1.0,Joel BENGTSSON,06 MAY 1999,SWE,5f1,,Göteborg (SWE),29 JUN 2019,913
16384,10.91,+0.5,Carl NARUP,1998,SWE,4f2,,Göteborg (SWE),29 JUN 2019,913
16384,10.91,+2.0,Douglas HELLBRATT,20 OCT 1995,SWE,3h2,,Göteborg (SWE),29 JUN 2019,913
16384,10.91,-0.4,Simon HANSEN,30 JUN 1998,DEN,1h7,,Göteborg (SWE),29 JUN 2019,915
16384,10.91,+1.2,Jannis WOLFF,1998,GER,2ce2,,"Stadionring, Ratingen (GER)",29 JUN 2019,913
16384,10.91,-0.8,Niels KERKHOFS,25 FEB 2001,BEL,3,,Lebbeke (BEL),29 JUN 2019,917
16384,10.91,+1.9,Qays MINGO-LONG,,USA,6f2,,"Long Beach, CA (USA)",29 JUN 2019,913
16384,10.91,+0.6,To Rangers CARSON,20 APR 1998,FRA,7h2,,Chateauroux (FRA),29 JUN 2019,913
16384,10.91,+1.9,Samuel SLOBODA,22 AUG 2001,SVK,1h2,,Trnava (SVK),29 JUN 2019,913
16384,10.91,+0.5,Jarod BIYA,22 MAY 2000,SUI,6h5,,La Chaux-de-Fonds (SUI),30 JUN 2019,913
16384,10.91,+0.5,Boom Regis Armel TIO,14 OCT 1998,ITA,6h5,,La Chaux-de-Fonds (SUI),30 JUN 2019,913
16384,10.91,+0.5,Gaëtan CARUSONE,15 SEP 1997,SUI,1h8,,La Chaux-de-Fonds (SUI),30 JUN 2019,913
16384,10.91,+1.2,Jeriel QUAINOO,,GBR,1f1,,Hendon (GBR),30 JUN 2019,913
16384,10.91,-0.6,Devin BREWINGTON,2002,USA,3,,"Hopkins, SC (USA)",30 JUN 2019,916
16384,10.91,-0.1,Mo YASSIN,1993,CAN,1f6,,Hamilton (CAN),01 JUL 2019,913
16384,10.91,+0.3,Venelin GEORGIEV,23 AUG 2001,BUL,6,,Cluj-Napoca (ROU),02 JUL 2019,913
16384,10.91,+1.1,Bartłomiej KNAPCZYK,20 MAY 2001,POL,2h2,,Racibórz (POL),03 JUL 2019,913
16384,10.91,+1.4,Jakub LEMPACH,21 AUG 2001,POL,1h4,,Racibórz (POL),03 JUL 2019,913
16384,10.91,-4.1,Ali Khalid MAS,19 APR 2002,KSA,1h1,,Radés (TUN),04 JUL 2019,937
16384,10.91,+0.5,Maxence FESSARD,28 SEP 2000,FRA,5h1,,Angers (FRA),05 JUL 2019,913
16384,10.91,+0.2,Remy BERDOUX,05 APR 2002,FRA,1,,Angers (FRA),05 JUL 2019,913
16384,10.91,+0.2,Cyprien DIPOKO NDOUMBE,16 AUG 2003,FRA,2,,Angers (FRA),05 JUL 2019,913
16384,10.91,+0.2,Nolwen KERMOAL,04 FEB 2002,FRA,3,,Angers (FRA),05 JUL 2019,913
16384,10.91,+1.6,John LANE,29 JAN 1989,GBR,1ce4,,Lutsk (UKR),06 JUL 2019,913
16384,10.91,+1.3,Miguel GÁRCIA,19 APR 2000,ESP,6,,Granollers (ESP),06 JUL 2019,913
16384,10.91,+1.6,Bayon Sergio RODRIGUEZ,07 OCT 2001,ESP,4sf2,,Granollers (ESP),06 JUL 2019,913
16384,10.91,+0.7,Imran RAHMAN,05 JUL 1993,GBR,sr2,,Sheffield (GBR),06 JUL 2019,913
16384,10.91,+1.6,Gaizka MARTÍN,25 JUL 1998,ESP,2,,Burgos (ESP),06 JUL 2019,913
16384,10.91,+0.2,Szymon WOŹNIAK,10 AUG 1999,POL,2h1,,Czestochowa (POL),06 JUL 2019,913
16384,10.91,0.0,Willian Sergio DE CAMPOS DA SILVA,11 DEC 1992,BRA,2,,Jaraguá (BRA),06 JUL 2019,913
16384,10.91,+1.4,Eric DE GROOT,14 JUN 2000,SUI,2h2,,Bulle (SUI),07 JUL 2019,913
16384,10.91,+0.8,Arnaud VERGÈRES,25 JUL 1995,SUI,1h5,,Bulle (SUI),07 JUL 2019,913
16384,10.91,+1.3,Nicolai TRAGESER,1999,GER,4f2,,Regensburg (GER),07 JUL 2019,913
16384,10.91,0.0,Edgar SILWIMBA,06 SEP 1994,ZAM,7h7,,Napoli (ITA),08 JUL 2019,913
16384,10.91,-0.4,Lukáš PUCHOVSKÝ,26 AUG 1998,SVK,1pr2,,Napoli (ITA),08 JUL 2019,915
16384,10.91,-1.1,Yoann FAMIE,01 APR 1992,FRA,4,,Talence (FRA),10 JUL 2019,919
16384,10.91,-1.2,Marc-antoine SABAN,03 SEP 1999,FRA,2h1,,Paris (FRA),10 JUL 2019,920
16384,10.91,+1.9,Heikki NIEMINEN,18 FEB 1994,FIN,5f1,,Seinäjoki (FIN),10 JUL 2019,913
16384,10.91,+0.8,Nojus BUDAVIČIUS,14 MAY 1999,LTU,2,,Vilnius (LTU),10 JUL 2019,913
16384,10.91,-2.1,Andrei Alexandru ZLATAN,25 AUG 1998,ITA,2h1,,Gävle (SWE),11 JUL 2019,925
16384,10.91,0.0,Amilah-edinho DERMONT,27 APR 1991,FRA,5f1,,Bron (FRA),11 JUL 2019,913
16384,10.91,-1.2,Alex COLLIER,2001,USA,2,,"Orlando, FL (USA)",12 JUL 2019,920
16384,10.91,-0.2,Fabrizio CEGLIE,18 FEB 1999,ITA,1h6,,Pordenone (ITA),12 JUL 2019,914
16384,10.91,+1.6,Bailey WRIGHT,,GBR,4h3,,Birmingham (GBR),12 JUL 2019,913
16384,10.91,+0.8,Gudmundur August THORODDSEN,16 JUL 1996,ISL,4,,Reykjavík (ISL),13 JUL 2019,913
16384,10.91,+0.4,Yohann GBAPO,13 APR 1995,FRA,4h1,,Montgeron (FRA),13 JUL 2019,913
16384,10.91,+1.9,Miguel IZQUIERDO,26 APR 2000,ESP,4,,Valencia (ESP),13 JUL 2019,913
16384,10.91,+0.1,Lennart JUNGCLAUS,1996,GER,2,,Göttingen (GER),13 JUL 2019,913
16384,10.91,+0.6,Nicolai TRAGESER,1999,GER,4,,Augsburg (GER),13 JUL 2019,913
16384,10.91,-0.1,Felix FRÜHN,2001,GER,1h4,,Walldorf (GER),13 JUL 2019,913
16384,10.91,+0.5,Paolo GALLETTA,02 JUN 1998,ITA,2,,Vittorio Veneto (ITA),13 JUL 2019,913
16384,10.91,0.0,Hiroki KINOSHITA,20 OCT 1999,JPN,5h3,,Chiba (JPN),13 JUL 2019,913
16384,10.91,+1.0,Joan FUENTES,06 JAN 1997,ESP,6,,Barcelona (ESP),14 JUL 2019,913
16384,10.91,+0.2,Jean Marie LOUIS,24 JUN 1986,BEL,8f1,,Liège (BEL),17 JUL 2019,913
16384,10.91,-0.8,Tobias LARSEN,21 JAN 2000,DEN,4h1,,Boras (SWE),18 JUL 2019,917
16384,10.91,+1.3,Pavel DYRDA,05 JAN 1998,BLR,4,,Brest (BLR),18 JUL 2019,913
16384,10.91,+0.3,Alexander SCHMIDT,1996,GER,1f3,,Mannheim (GER),19 JUL 2019,913
16384,10.91,+0.7,Christoffer ENVALL,06 AUG 1991,FIN,1,,Ilmajoki (FIN),20 JUL 2019,913
16384,10.91,-0.8,Noel THORWESTEN,12 DEC 1998,GER,5h1,,Rhede (GER),20 JUL 2019,917
16384,10.91,-0.3,Lennart JUNGCLAUS,1996,GER,5,,Hannover (GER),20 JUL 2019,914
16384,10.91,-0.3,Matthias KÖPCKE,1998,GER,6,,Hannover (GER),20 JUL 2019,914
16384,10.91,-0.5,Richi ADITH,07 MAR 2001,INA,1h2,,Semarang (INA),20 JUL 2019,916
16384,10.91,-1.5,Fabio KAMMLER,1997,GER,1,,Regensburg (GER),20 JUL 2019,922
16384,10.91,+0.7,Mo YASSIN,1993,CAN,3f6,,Hamilton (CAN),21 JUL 2019,913
16384,10.91,+0.5,Moshe BAR-SHESHET,17 JUL 2001,ISR,1f2,,Tel Aviv (ISR),24 JUL 2019,913
16384,10.91,0.0,Emanuel STUBICAN,1998,GER,1,,Köngen (GER),24 JUL 2019,913
16384,10.91,+0.8,Hanson DIANABASI,17 OCT 1998,NGR,6sf1,,Kaduna (NGR),25 JUL 2019,913
16384,10.91,+0.4,Mantas ŠEŠTOKAS,18 APR 1996,LTU,4f1,,Palanga (LTU),26 JUL 2019,913
16384,10.91,+0.6,Jakub ŘEZNÍČEK,07 APR 1995,CZE,4h3,,Brno (CZE),26 JUL 2019,913
16384,10.91,+0.2,Joseph TWUMASI,14 AUG 2001,ITA,6h1,,Bressanone (ITA),26 JUL 2019,913
16384,10.91,-1.3,Nick WOISCHWILL,2000,GER,5sf3,,Ulm (GER),26 JUL 2019,920
16384,10.91,0.0,Tibor RÉVFALVI,2002,HUN,3h3,,Budapest (HUN),27 JUL 2019,913
16384,10.91,+0.2,Gregor GRAHOVAC,24 APR 2000,SLO,4,,Celje (SLO),27 JUL 2019,913
16384,10.91,-0.7,Daiyehan NICHOLS-BARDI,13 MAR 2001,AUT,3,,Innsbruck (AUT),27 JUL 2019,917
16384,10.91,-1.0,Nathan GILBERT,02 MAR 1995,GBR,3h2,,Manchester (GBR),27 JUL 2019,919
16384,10.91,-1.3,Nicholas WALSH,27 JUL 1997,GBR,5sf1,,Manchester (GBR),27 JUL 2019,920
16384,10.91,-2.9,Alwayne CAMPBELL,,GBR,4sf3,,Manchester (GBR),27 JUL 2019,930
16384,10.91,-0.2,Marvin ORTHMANN,2002,GER,5,,Ulm (GER),27 JUL 2019,914
16384,10.91,+0.6,Xavier RATO,25 OCT 1999,POR,1,,Leiria (POR),27 JUL 2019,913
16384,10.91,+1.0,Hento PILIPILI,1995,CAN,7h1,,Montreal (CAN),31 JUL 2019,913
16384,10.91,-2.1,Jovan STOJOSKI,26 NOV 1997,MKD,3,,Berane (MNE),31 JUL 2019,925
16384,10.91,+1.9,Daichi KOKUBO,29 AUG 2000,JPN,4f2,,Hachioji (JPN),02 AUG 2019,913
16384,10.91,+1.3,Danila TEN,24 MAY 2001,RUS,1h1,,Cheboksary (RUS),02 AUG 2019,913
16384,10.91,+1.0,Eerikki PEKKOLA,14 SEP 1993,FIN,4h2,,Lappeenranta (FIN),03 AUG 2019,913
16384,10.91,-1.2,Maximilian MÜNZKER,15 JUL 1998,AUT,3,,Andorf (AUT),03 AUG 2019,920
16384,10.91,-2.2,Sergio JORNET,11 APR 1996,ESP,1ce1,,Soria (ESP),03 AUG 2019,926
16384,10.91,+1.1,Eddie SCOTT,,USA,8,,"Jacksonville, FL (USA)",03 AUG 2019,913
16384,10.91,+1.6,Carl NARUP,1998,SWE,6f1,,Mölndal (SWE),03 AUG 2019,913
16384,10.91,0.0,Ramon GARCÍA,08 JAN 1995,ESP,1h1,,Soria (ESP),04 AUG 2019,913
16384,10.91,+1.9,Keita MATSURA,10 NOV 2002,JPN,8h3,,Okinawa (JPN),05 AUG 2019,913
16384,10.91,+1.1,Haato KAWAGOE,2001,JPN,7h9,,Okinawa (JPN),05 AUG 2019,913
16384,10.91,-1.5,Aykut AY,03 AUG 1995,TUR,2sr1,,Sandnes (NOR),09 AUG 2019,922
16384,10.91,+1.5,Raymond Solomon MPANGA,1999,SWE,6,,Göteborg (SWE),09 AUG 2019,913
16384,10.91,-0.1,Donpritee SITTIPHON,12 AUG 2000,THA,4h4,,Warszawa (POL),10 AUG 2019,913
16384,10.91,+0.4,Juan-Sebastian KLETA,2004,GER,1,,Lage (GER),10 AUG 2019,913
16384,10.91,0.0,Iván Jesús RAMOS,31 JUL 1990,ESP,3f1,,Madrid (ESP),14 AUG 2019,913
16384,10.91,+1.0,Majgul HANIFBHAI,20 AUG 1993,IND,2f2,,Patiala (IND),16 AUG 2019,913
16384,10.91,-0.1,Jeremy HARDY,10 AUG 1989,USA,2,,"Mount Pleasant, SC (USA)",17 AUG 2019,913
16384,10.91,+0.3,Kojo MUSAH,15 APR 1996,DEN,1h3,,Østerbro (DEN),17 AUG 2019,913
16384,10.91,+0.6,Simon CALDERARI,22 SEP 2001,SUI,1f1,,Lugano (SUI),17 AUG 2019,913
16384,10.91,+0.6,Riccardo FONTANA,04 FEB 1997,ITA,2f1,,Lugano (SUI),17 AUG 2019,913
16384,10.91,-1.6,Pol BIDAINE,13 DEC 1993,LUX,7f1,,Schifflange (LUX),18 AUG 2019,922
16384,10.91,0.0,Luis Henrique SENA VIEIRA,26 JUL 1997,BRA,5,,Sao Paulo (BRA),18 AUG 2019,913
16384,10.91,+0.5,Murugiam MANIKANDA RAJ,06 JUL 1987,IND,6,,Pune (IND),20 AUG 2019,913
16384,10.91,0.0,M. MANIKANDA ARUMUGAM,15 JUL 1991,IND,1h2,,Pune (IND),20 AUG 2019,913
16384,10.91,+0.4,Jitse MIEVIS,12 MAY 1998,BEL,4h1,,Oordegem (BEL),22 AUG 2019,913
16384,10.91,-1.9,Hong MI,08 JUL 1993,CHN,4h1,,Daqing (CHN),22 AUG 2019,924
16384,10.91,+0.9,Maxime BAUDRAZ,19 JUN 2000,SUI,3h6,,"Stadion Schützenmatte, Basel (SUI)",23 AUG 2019,913
16384,10.91,+1.1,Vojtěch SVOBODA,23 MAR 1995,CZE,3h2,,"Stadion Juliska, Praha (CZE)",24 AUG 2019,913
16384,10.91,-0.1,Andy GRIMWOOD,31 MAR 1994,GBR,2,,Loughborough (GBR),24 AUG 2019,913
16384,10.91,-0.3,Leeroy HENRIETTE,07 JAN 1991,SEY,6h4,,"Prince Moulay Abdellah, Rabat (MAR)",26 AUG 2019,914
16384,10.91,+0.6,Julius MORIE,06 JAN 1999,SLE,6h6,,"Prince Moulay Abdellah, Rabat (MAR)",26 AUG 2019,913
16384,10.91,+1.9,Michal SUCHÁNEK,02 NOV 1996,CZE,1f2,,Brno (CZE),28 AUG 2019,913
16384,10.91,+1.1,Tony DARKWAH,15 JUN 1986,SWE,5,,"Tingvalla IP, Karlstad (SWE)",30 AUG 2019,913
16384,10.91,-2.6,Jonathan Okeudo NMAJU,09 JAN 1993,NGR,1h3,,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",31 AUG 2019,928
16384,10.91,-1.4,Jonathan Okeudo NMAJU,09 JAN 1993,NGR,5sf3,,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",31 AUG 2019,921
16384,10.91,-0.8,Jorge ﻿UREÑA,08 OCT 1993,ESP,1ce2,,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",31 AUG 2019,917
16384,10.91,+1.0,William THOR,17 MAR 2000,SWE,3,,Porvoo (FIN),31 AUG 2019,913
16384,10.91,-0.2,Oliver SWINNEY,12 NOV 2003,IRL,1h4,,Bedford (GBR),31 AUG 2019,914
16384,10.91,+0.9,Sikiru ONIGBANJO,,GBR,4sf1,,Bedford (GBR),31 AUG 2019,913
16384,10.91,+0.5,Hajrudin VEJZOVIĆ,01 DEC 2000,BIH,6,,Pravets (BUL),02 SEP 2019,913
16384,10.91,+1.5,Caio PASSOLD,15 MAY 2000,BRA,3,,Jaraguá (BRA),07 SEP 2019,913
16384,10.91,0.0,Jiří POLÁK,22 APR 1998,CZE,6,,Hodonín (CZE),08 SEP 2019,913
16384,10.91,+1.1,Matyáš KOŠKA,2000,CZE,3f1,,Kolin (CZE),15 SEP 2019,913
16384,10.91,-1.3,Qianxi YU,08 OCT 1998,CHN,4,,Shenyang (CHN),20 SEP 2019,920
16384,10.91,-0.1,Tomoya BABA,05 MAR 1990,JPN,3h2,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,913
16384,10.91,-1.3,Naoto HIRANO,02 OCT 1992,JPN,6h4,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,920
16384,10.91,+1.1,Yuki NISHIOKA,1995,JPN,6h7,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,913
16384,10.91,-2.1,Ryouji URAI,1996,JPN,6sf2,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,925
16384,10.91,-0.2,Ryouji URAI,1996,JPN,6sf3,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,914
16384,10.91,-1.9,Shumma SHIMOJI,2001,JPN,6sf2,,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)",04 OCT 2019,924
16384,10.91,+1.5,Kohei SANO,16 NOV 1998,JPN,8h2,,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)",05 OCT 2019,913
16384,10.91,-0.3,Dah-yeok YIM,22 JUL 1997,KOR,7,,"Olympic Stadium, Jamsil, Seoul (KOR)",06 OCT 2019,914
16384,10.91,-0.3,Seung-woo OH,29 JAN 1997,KOR,8,,"Olympic Stadium, Jamsil, Seoul (KOR)",06 OCT 2019,914
16384,10.91,+2.0,Do-young JUNG,09 JUL 2001,KOR,2h3,,"Olympic Stadium, Jamsil, Seoul (KOR)",06 OCT 2019,913
16384,10.91,-0.4,Augusto GRIFFERO,21 DEC 2001,ARG,1,,Buenos Aires (ARG),12 OCT 2019,915
16384,10.91,+0.2,Igor Clemente MEDEIROS,26 FEB 2002,BRA,1h7,,Porto Alegre (BRA),18 OCT 2019,913
16384,10.91,+0.6,Harrison HUNT,01 APR 1999,AUS,1f1,,"SA Athletic Stadium, Adelaide (AUS)",19 OCT 2019,913
16384,10.91,0.0,Keisuke  HARA,1995,JPN,1,,"Prefectural Stadium, Niigata (JPN)",19 OCT 2019,913
16384,10.91,-1.2,Khairyll Amri TUMADI,14 MAR 1993,SGP,2,,New Clark City (PHI),27 OCT 2019,920
16384,10.91,+1.8,Hyuma TAIRA,26 SEP 2000,JPN,7h4,,"Honjo Athletic Stadium, Kitakyushu (JPN)",27 OCT 2019,913
16384,10.91,+1.9,Ashley WONG,2004,AUS,5f1,,"QSAC, Nathan, Brisbane (AUS)",16 NOV 2019,913
16384,10.91,+0.5,Steeven Marcelo SALAS LÓPEZ,03 DEC 2002,ECU,4,,Quito (ECU),16 NOV 2019,913
16384,10.91,-0.4,Cody WILSON,21 NOV 2000,NZL,1f1,,"Colin Pugh Sports Bowl, Masterton (NZL)",23 NOV 2019,915
16856,10.92,+1.2,Conor LARRANAGA BOYLE,2002,AUS,1f1,,Perth (AUS),18 JAN 2019,910
16856,10.92,+1.2,Michael FREITAS,25 NOV 1999,RSA,5f1,,Pretoria (RSA),26 JAN 2019,910
16856,10.92,+0.1,Rohan COLE,28 OCT 1997,JAM,1f5,,Clarendon (JAM),02 FEB 2019,910
16856,10.92,-3.4,Jeremy FARR,20 NOV 2000,JAM,2f5,,Kingston (JAM),09 FEB 2019,930
16856,10.92,-0.7,Leonardo STEWART,,JAM,1f4,,Montego Bay (JAM),09 FEB 2019,914
16856,10.92,+1.7,Anayo MASOMBE,08 NOV 1999,RSA,5f3,,Pretoria (RSA),09 FEB 2019,910
16856,10.92,-0.1,Fabio PALMIERI,08 AUG 1999,RSA,2f1,,Parow (RSA),15 FEB 2019,910
16856,10.92,-1.1,Jordan RENDER,03 AUG 1995,AUS,2f1,,Brisbane (AUS),16 FEB 2019,916
16856,10.92,+1.0,Nicolas CAMARGO,12 MAR 1992,ARG,2,,Rosario (ARG),16 FEB 2019,910
16856,10.92,+0.1,Yoan M. PALMA,22 OCT 2002,CUB,3h3,,Camagüey (CUB),22 FEB 2019,910
16856,10.92,+1.5,Kenneth VUONG,30 AUG 1990,AUS,2f1,,Sydney (AUS),02 MAR 2019,910
16856,10.92,+0.5,Tevin BURNEY-MITCHELL,,USA,1f3,,"San Antonio, TX (USA)",02 MAR 2019,910
16856,10.92,+1.2,Anthony PALUMBO,,USA,3f1,,"Los Angeles, CA (USA)",02 MAR 2019,910
16856,10.92,+0.5,Vince Jason BUHAYAN,13 MAR 2001,PHI,1,,Ilagan (PHI),06 MAR 2019,910
16856,10.92,+0.3,Joshua ASIEDU-AKROFI,,USA,4f1,,"San Diego, CA (USA)",09 MAR 2019,910
16856,10.92,+0.7,Alec DURAN,,USA,6f2,,"Fullerton, CA (USA)",09 MAR 2019,910
16856,10.92,+0.5,Antonio WEEKES,1997,BAR,3,,St. Michael (BAR),09 MAR 2019,910
16856,10.92,+0.9,Vincent OBIAJULU,,USA,1f2,,"Santa Barbara, CA (USA)",09 MAR 2019,910
16856,10.92,-0.7,Mfundo MZOBE,13 SEP 1998,RSA,1f7,,"Kingspark Athletics Stadium, Durban (RSA)",09 MAR 2019,914
16856,10.92,+1.7,Je'Von HUTCHISON,04 MAY 1992,USA,4f1,,"Hollywood, FL (USA)",12 MAR 2019,910
16856,10.92,+0.9,Andrew LEUTHNER,1996,USA,1f1,,"San Antonio, TX (USA)",15 MAR 2019,910
16856,10.92,0.0,Tevin BURNEY-MITCHELL,,USA,1f2,,"San Antonio, TX (USA)",15 MAR 2019,910
16856,10.92,+1.2,Jesse FRIMPONG,,USA,3f3,,"Mobile, AL (USA)",15 MAR 2019,910
16856,10.92,-1.4,Ekpekpe FAVOUR,01 MAR 2001,NGR,3h5,,Ilaro (NGR),15 MAR 2019,918
16856,10.92,+1.6,Timothy YOUNG,,JAM,4f5,,"Coral Gables, FL (USA)",16 MAR 2019,910
16856,10.92,+0.6,Carl JONES,,USA,1,,"Irvine, CA (USA)",16 MAR 2019,910
16856,10.92,+1.3,Melvin JOHNSON,,USA,1f4,,"Fort Worth, TX (USA)",16 MAR 2019,910
16856,10.92,-1.6,Jordan TURNER,12 SEP 2002,JAM,1f7,,Spanish Town (JAM),16 MAR 2019,919
16856,10.92,+1.5,Richard HANSEN,,USA,2f2,,"San Diego, CA (USA)",16 MAR 2019,910
16856,10.92,-1.8,Ali BABAEI,,IRI,4sf1,,Hong Kong (HKG),16 MAR 2019,920
16856,10.92,-1.3,Seiryo IKEDA,13 FEB 2002,JPN,1sf2,,Hong Kong (HKG),16 MAR 2019,917
16856,10.92,+2.0,James COLE,,USA,4f2,,"Abilene, TX (USA)",16 MAR 2019,910
16856,10.92,+0.8,Yashawn HAMILTON,08 DEC 1999,JAM,1f1,,"San Antonio, TX (USA)",16 MAR 2019,910
16856,10.92,+0.4,Tokiya HASA,25 NOV 1997,JPN,4f1,,Kumatori (JPN),16 MAR 2019,910
16856,10.92,0.0,Safiku MONDAL,08 JUL 1996,IND,1h4,,Patiala (IND),17 MAR 2019,910
16856,10.92,-0.1,Joshua HAN WEI CHUA,20 JAN 2000,SGP,1,,Singapore (SGP),17 MAR 2019,910
16856,10.92,-0.6,Divan VAN DER WALT,09 NOV 1999,RSA,2f2,,Potchefstroom (RSA),19 MAR 2019,913
16856,10.92,+1.7,Nathan MOSS,,BAH,5f1,,Nassau (BAH),21 MAR 2019,910
16856,10.92,+0.4,AJ TISDEL,,USA,7,,"Houston, TX (USA)",23 MAR 2019,910
16856,10.92,+0.7,Shakeem MCKAY,2003,TTO,1f2,,Port-of-Spain (TTO),23 MAR 2019,910
16856,10.92,0.0,Razeem RICHARDS,,ANT,1h3,,Port-of-Spain (TTO),23 MAR 2019,910
16856,10.92,-0.1,Carden WILLIAMS,,USA,2h4,,"Charleston, SC (USA)",23 MAR 2019,910
16856,10.92,+1.1,Jace MARX,,USA,1h1,,"Fort Collins, CO (USA)",23 MAR 2019,910
16856,10.92,+2.0,Heinrich MARLOTH,19 JAN 1998,RSA,4,,Durban (RSA),23 MAR 2019,910
16856,10.92,+2.0,Thomas XOLO,,RSA,4h1,,Durban (RSA),23 MAR 2019,910
16856,10.92,-1.4,Rj RAMIREZ,,USA,2f1,,"Pueblo, CO (USA)",27 MAR 2019,918
16856,10.92,-1.6,Phelalani GASA,14 SEP 2000,RSA,6,,Paarl (RSA),28 MAR 2019,919
16856,10.92,+0.8,Phemelo MOJE,29 JAN 2001,RSA,3h1,,Paarl (RSA),28 MAR 2019,910
16856,10.92,+0.8,Sammy NGOVENI,31 JUL 2001,RSA,3sf2,,Paarl (RSA),28 MAR 2019,910
16856,10.92,+1.6,Hugo MOSTERT,,RSA,2h3,,Paarl (RSA),28 MAR 2019,910
16856,10.92,+0.6,Rehotile MOHALE,2002,RSA,3h5,,Paarl (RSA),28 MAR 2019,910
16856,10.92,+1.6,Caleb BLAKE,,USA,1h10,,"Gainesville, FL (USA)",28 MAR 2019,910
16856,10.92,-0.3,Kalani COOK,07 MAY 2003,JAM,4sf3,,Kingston (JAM),29 MAR 2019,911
16856,10.92,+0.7,Traezon HENDERSON,,USA,5h6,,"Austin, TX (USA)",29 MAR 2019,910
16856,10.92,+0.9,Isaiah PAYNE,,USA,3f1,,"San Francisco, CA (USA)",29 MAR 2019,910
16856,10.92,0.0,Chaio WINTERS,,USA,4f2,,"Westwood, CA (USA)",30 MAR 2019,910
16856,10.92,+1.8,Kamari WALKER,,USA,2,,"Mount Olive, NC (USA)",30 MAR 2019,910
16856,10.92,-2.0,Jaelen MEANS,1996,USA,1h6,,"Bethany, WV (USA)",30 MAR 2019,922
16856,10.92,-0.6,Gary FINEGAN,30 AUG 1985,AUS,4h2,,Sydney (AUS),05 APR 2019,913
16856,10.92,+0.1,Jacob SESAR,1999,AUS,7h4,,Sydney (AUS),05 APR 2019,910
16856,10.92,-1.3,Showalter JOHNSON,,BAH,1h2,,Nassau (BAH),05 APR 2019,917
16856,10.92,+1.8,Christian RAHYME,04 JAN 2002,JAM,3h5,,Kingston (JAM),05 APR 2019,910
16856,10.92,-0.6,Kota ONOUE,05 DEC 1999,JPN,3sf1,,Osaka (JPN),05 APR 2019,913
16856,10.92,-1.7,YUKI SHIMAMURA,12 DEC 1998,JPN,3sf2,,Osaka (JPN),05 APR 2019,920
16856,10.92,-3.5,Ryohei TOMIOKA,03 JUN 1997,JPN,3sf3,,Osaka (JPN),05 APR 2019,931
16856,10.92,+1.9,William DOWER,,USA,5f2,,"Tempe, AZ (USA)",06 APR 2019,910
16856,10.92,0.0,Tadiwanashe MHONDE,,ZIM,1h1,,"Terre Haute, IN (USA)",06 APR 2019,910
16856,10.92,-0.5,Sean MCCREARY,,USA,3f1,,"Huntsville, AL (USA)",06 APR 2019,913
16856,10.92,+1.0,Jim HOESLEY,,USA,2sf1,,"La Crosse, WI (USA)",06 APR 2019,910
16856,10.92,+0.8,Marcellus BOYKIN,,USA,3f1,,"College Station, TX (USA)",06 APR 2019,910
16856,10.92,+1.4,Willian SCHRAMM DESCHAMPS,25 MAY 1997,BRA,2,,Blumenau (BRA),06 APR 2019,910
